Country,Number of public holidays
Argentina,19
Australia,11
Austria,14
Bangladesh,22
Belgium,10
Barbados,12
Brazil,10
Bulgaria,12
Cambodia,21
Canada,11
Chile,14
Colombia,18
Croatia,14
Cyprus,14
Czechia,13
Denmark,14
Dominican Republic,12
Ecuador,8
Egypt,22
Estonia,10
Fiji,10
Finland,13
France,11
Germany,11
Greece,12
Hong Kong,17
Hungary,12
Iceland,16
India,21
Indonesia,16
Iran,26
Ireland,10
Israel,11
Italy,12
Japan,16
Kazakhstan,16
Kosovo,11
Latvia,13
Lebanon,19
Liechtenstein,20â€“22
Lithuania,15
Malaysia,19
Mexico,8
Mongolia,14
Myanmar,32
Nepal,35
Netherlands,11
New Zealand,12
Norway,14
Pakistan,16
Peru,14
Philippines,18
Poland,13
Portugal,14
Romania,15
Russia,11
Serbia,13
Singapore,11
Slovakia,15
Slovenia,14
South Africa,12
South Korea,14
Spain,12
Sri Lanka,25
Sweden,15
Switzerland,12
Taiwan,9
Thailand,16
Tanzania,16
Trinidad and Tobago,15
Turkey,14
Ukraine,12
United Kingdom,9
United States,11
Uruguay,12
Venezuela,14
Albania,15
